ID	NES.PRvNot	pvalue.PRvNot	p.adjust.PRvNot	NES.PDvNot	pvalue.PDvNot	p.adjust.PDvNot	NES.FullLM	pvalue.FullLM	p.adjust.FullLM
HALLMARK_GLYCOLYSIS	-0.827906059605562	0.841494713068473	0.956243992123265	1.60319206868494	0.000361358708744881	0.00150893288266538	2.05829797618337	0.00209205020920502	0.00515463917525773
HALLMARK_HEDGEHOG_SIGNALING	-1.93689009112003	0.00012482836100362	0.00208047268339367	1.95619737125869	0.000150511739915713	0.00107508385654081	-1.53628293866013	0.0196405648267009	0.0338630428046567
HALLMARK_HEME_METABOLISM	-0.772925571146122	0.911008230452675	0.969157691970931	0.91694634726431	0.653066151617576	0.913961550583045	-1.14650747693612	0.199578503688093	0.24338841913182
HALLMARK_HYPOXIA	-1.17003556331088	0.156995884773663	0.253219168989778	1.68185610135955	0.000362143891839691	0.00150893288266538	1.91464643229368	0.001953125	0.00515463917525773
HALLMARK_IL2_STAT5_SIGNALING	1.1515673180332	0.0701754385964912	0.134952766531714	1.05764126309698	0.349432157800359	0.563600254516707	2.02980753242145	0.0022883295194508	0.00515463917525773
HALLMARK_IL6_JAK_STAT3_SIGNALING	1.92146854432638	0.00110864745011086	0.00955320399764844	-1.28861462461228	0.0673981191222571	0.140412748171369	2.03052175397166	0.000807102502017756	0.00515463917525773
HALLMARK_INFLAMMATORY_RESPONSE	1.52466908358855	0.00401606425702811	0.0115435356200528	1.13842049507738	0.203166226912929	0.357955655290521	2.67323283913291	0.0021551724137931	0.00515463917525773
HALLMARK_INTERFERON_ALPHA_RESPONSE	2.35397681917288	0.0012970168612192	0.00955320399764844	-2.0838223521352	0.000417362270450751	0.00160523950173366	2.85475654080733	0.000906618313689937	0.00515463917525773
HALLMARK_INTERFERON_GAMMA_RESPONSE	2.63135376785299	0.00448430493273543	0.0115435356200528	-2.16485724055754	0.00061652281134402	0.0020550760378134	3.10578121197485	0.00233644859813084	0.00515463917525773
HALLMARK_KRAS_SIGNALING_DN	-1.3804759201059	0.021614139693356	0.0491230447576274	1.18177132971219	0.175759135357694	0.325479880292026	-1.26136609995668	0.0951018161805173	0.12851596781151
HALLMARK_KRAS_SIGNALING_UP	-0.999865794712376	0.497741273100616	0.62217659137577	1.27084070144736	0.0623492522913652	0.138026224982747	1.47103418050306	0.00208333333333333	0.00515463917525773
HALLMARK_MITOTIC_SPINDLE	-0.910810766996295	0.702362687941086	0.836146057072722	1.74277408245896	0.000119189511323004	0.00100790195129818	1.60092182224927	0.00257731958762887	0.00515463917525773
HALLMARK_MTORC1_SIGNALING	2.11050450844363	0.00444444444444444	0.0115435356200528	0.677238713185946	0.994510739856802	1	2.56087756327887	0.00246913580246914	0.00515463917525773
HALLMARK_MYC_TARGETS_V1	1.14426456492009	0.0803571428571429	0.148809523809524	0.508357310576488	1	1	2.11498550331336	0.0025062656641604	0.00515463917525773
HALLMARK_MYC_TARGETS_V2	1.67938649102289	0.00236406619385343	0.0115435356200528	-1.41805877857219	0.0378396972824217	0.0900945173390994	1.07174848168073	0.315059861373661	0.348555541792257
HALLMARK_MYOGENESIS	-2.347475305448	0.000103060908997217	0.00208047268339367	1.80093151138834	0.000120948234155781	0.00100790195129818	-1.0831554906538	0.320671098448876	0.348555541792257
HALLMARK_NOTCH_SIGNALING	-1.14354430987006	0.287729372113344	0.3996241279352	1.59169338132816	0.0120409391932571	0.0316866820875186	-1.29130880904608	0.134979529170931	0.168724411463664
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.33274359995502	0.00401606425702811	0.0115435356200528	0.470945810332074	1	1	-1.0897486856174	0.301111344097295	0.342171981928744
HALLMARK_P53_PATHWAY	-1.00370218285663	0.490003075976623	0.62217659137577	1.33707971785078	0.030822739266011	0.0770568481650276	1.33903183094701	0.0150862068965517	0.0269396551724138
HALLMARK_PANCREAS_BETA_CELLS	-1.24638844366985	0.192161649037158	0.282590660348761	1.38750260777799	0.0904347826086957	0.180869565217391	-0.708042835356537	0.853480358373536	0.853480358373536
HALLMARK_PEROXISOME	1.55916838181707	0.0024330900243309	0.0115435356200528	-0.861242226970304	0.797594359187059	1	-1.25145935538136	0.117885720725797	0.155112790428681
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.682092765354561	0.958247701460249	0.998174689021093	0.779485741753938	0.878585461689587	1	1.38379907700626	0.021883920076118	0.0352966452840613
HALLMARK_PROTEIN_SECRETION	1.00713120231217	0.407263294422827	0.53587275581951	0.719502232958644	0.946489613463055	1	1.4962320553957	0.00461680517082179	0.00854963920522554
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	1.69960251768396	0.00461741424802111	0.0115435356200528	-0.730576118865839	0.920499342969777	1	1.7968551656134	0.000544365813826892	0.00515463917525773
HALLMARK_SPERMATOGENESIS	-0.74174229125948	0.896373626373626	0.969157691970931	0.885119800049996	0.684563758389262	0.913961550583045	1.28347164693131	0.0556900726392252	0.0818971656459194
HALLMARK_TGF_BETA_SIGNALING	-1.21441032494824	0.179267161410019	0.271616911227301	1.56379661668403	0.00834512022630834	0.0231808895175232	0.977366463647411	0.512297540491902	0.522752592338675
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.28362877634303	0.00446428571428571	0.0115435356200528	1.26373301128694	0.0634920634920635	0.138026224982747	2.80161737613948	0.0025062656641604	0.00515463917525773
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1.35896260855281	0.0192592592592593	0.0458553791887125	-0.545643870050826	1	1	1.62049477684721	0.00198216055500496	0.00515463917525773
HALLMARK_UV_RESPONSE_DN	-0.975379554999244	0.545225867309506	0.664909594279886	1.49000240585121	0.00526118000751597	0.0154740588456352	1.68539049359333	0.00141843971631206	0.00515463917525773
HALLMARK_UV_RESPONSE_UP	-1.06457276366847	0.351776596853183	0.475373779531329	0.915585426489704	0.649790071622623	0.913961550583045	-1.34886673860508	0.0286416586512771	0.043396452501935
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-1.23557716198553	0.172026112185687	0.268790800290135	1.05288275902723	0.383379582298817	0.599030597341902	-1.06277380347414	0.381286843095447	0.405624301165369
HALLMARK_XENOBIOTIC_METABOLISM	2.19885317032988	0.00323624595469256	0.0115435356200528	-0.884513809104402	0.81462869905081	1	-1.23336286173642	0.093809624761501	0.12851596781151
